No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
6000;2;Municipalité de Girardville (Emprise rue - Face au 205 rue Principale);;R : Non terminée;92055;920;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.9998541101;-72.543575593
6002;3;Rue Père-Lacombe (nord du 65, rue Renaud);"Rue Père-Lacombe (nord du 65, rue Renaud)
Québec";R : Non terminée;23027;230;Hydrocarbures aromatiques polycycliques*, Métaux*,;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Métaux*,;46.814315;-71.242025
6004;7;Station-service Shell;"75, rue de la Eardley
Gatineau";R : Non terminée;81017;810;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;45.4067022437;-75.8573198896
6008;2;Maximum Sport;"850, boul. Sacré-Coeur
Saint-Félicien";R : Non terminée;91042;910;0;Hydrocarbures pétroliers C10 à C50,;48.6502727293;-72.4438211475
6009;7;Propriétés Provigo limitée;"156-170, rue Principale Sud
Maniwaki";R : Non terminée;83065;830;Hydrocarbures aromatiques polycycliques*, Hydrocarbures légers*,;Hydrocarbures pétroliers C10 à C50, Zinc (Zn),;46.3746083333;-75.9815333333
6012;14;Les Placements Marcel Marcil inc;"297, rue Saint-Stanislas
Saint-Lin-Laurentides";R : Non terminée;63048;630;Hydrocarbures pétroliers C10 à C50,;0;45.82676;-73.748716
6017;2;A D O Métal Ltd;"5028, boulevard du Royaume
Jonquière";R : Non terminée;94068;941;Biphényles polychlorés (BPC), Calcium (Ca)*, Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Mercure (Hg), Plomb (Pb), Zinc (Zn),;Mercure total (Hg),;48.4214727004;-71.3315478904
6018;14;Leland Industries inc.;"180, rue des Sablières
Notre-Dame-de-Lourdes";R : Non terminée;61045;610;Métaux*,;0;46.099759;-73.46295
6019;6;M. Jackson Ing;"7714, rue Renée
LaSalle";R : Non terminée;66023;660;Hydrocarbures pétroliers C10 à C50,;0;45.4388888889;-73.6255555556
6023;9;Ancien dépôt pétrolier Ultramar # 81435E;"940, rue Boréale
Havre-Saint-Pierre";R : Non terminée;98040;981;Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;50.2380125979;-63.6098136495
6025;11;Sylvain Barriault (fils de l'ancien propriétaire Urgel Barriault);;R : Non terminée;6013;60;Hydrocarbures aromatiques polycycliques*,;0;48.120493;-66.061184
6026;2;Rue des Érables (Façe au 45 rang 2, Métabetchouan - Lac-à-la-Croix);"Rue des Érables
Métabetchouan-Lac-à-la-Croix (Québec )";R : Non terminée;93012;930;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.4183611111;-71.8716388889
6028;12;Garage Bruno et Guy Mailhot;"1725, rang Grande Ligne (rte 277)
Lac-Etchemin";R : Non terminée;28053;280;Huiles usées*,;0;46.424095747;-70.5556856934
6032;6;Lot derrière le 6600, rue Saint-Urbain;;R : Non terminée;66023;660;Cuivre (Cu), Hydrocarbures pétroliers C10 à C50, Plomb (Pb),;0;45.5301805556;-73.612125
6046;1;Station-service Pétro-Canada;"612, boulevard Hébert, C. P. 517
Saint-Pascal";R : Non terminée;14018;140;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;47.52785;-69.79797
6050;1;Garage Raymond Turcotte et fils inc.;"19, rue Saint-Alphonse
Sainte-Luce";R : Non terminée;9092;90;Hydrocarbures pétroliers C10 à C50,;0;48.529782;-68.348875
6054;16;Domaine des Cascades;"3605, rue Marie-Victorin
Sainte-Catherine";R : Non terminée;67030;670;Hydrocarbures pétroliers C10 à C50,;0;45.4005416667;-73.5495222222
6056;6;Les Sommets sur le Fleuve - Phase III;;R : Non terminée;66023;660;Cadmium (Cd), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Nickel (Ni), Plomb (Pb), Zinc (Zn),;0;45.4493852131;-73.5488364659
6057;6;Les Sommets sur le fleuve - Phase IV;"300B, avenue des Sommets
Verdun";R : Non terminée;66023;660;Cadmium (Cd), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Nickel (Ni), Plomb (Pb), Zinc (Zn),;0;45.4487100772;-73.5494111751
6059;13;Ville de Laval (Hotel de ville);"1, place du Souvenir,
Laval,";R : Non terminée;65005;650;Hydrocarbures pétroliers C10 à C50,;0;45.5516894311;-73.7443688109
6063;15;Éthier, Michel;"rue Val d'Espoir
Mirabel";R : Non terminée;74005;740;Plomb (Pb),;0;45.68;-74.035
6065;15;Schneebeli, Mathilde;"2165, 28 ième avenue
Sainte-Lucie-des-Laurentides";R : Non terminée;78020;780;Hydrocarbures pétroliers C10 à C50,;0;;
6068;6;Immeuble résidentiel;"300, chemin Côte-Vertu
Saint-Laurent";R : Non terminée;66023;660;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;45.5294920363;-73.6688656416
6070;16;Pièces d'autos usagées Saint-Paul inc.;"373-A, chemin de la Grande-Ligne (PARTIE ARRIÈRE)
Saint-Urbain-Premier";R : Non terminée;70005;700;Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Plomb (Pb), Zinc (Zn),;0;45.2202222222;-73.6953611111
6074;10;Ancienne station radio-météo Lac Nichicun;;R : Non terminée;99060;991;Benzène, Éthylbenzène, Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p), Zinc (Zn),;Aluminium (Al), Benzène, Benzo(a)pyrène, Biphényles polychlorés (BPC), Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p), Zinc (Zn),;53.1972222222;-70.9083333333
6075;7;Pétro-Canada;"588, rue Principale
Gatineau";R : Non terminée;81017;810;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;45.5841388889;-75.4146333333
6077;15;De Zordo, Alexander;"889, chemin du Golf
Piedmont";R : Non terminée;77030;770;Benzène, Éthylbenzène, Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;45.9169294912;-74.1357097159
6078;13;Québec Métal Recyclé (FNF) inc.;"2185, Montée Masson
Laval";R : Non terminée;65005;650;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Métaux*,;Métaux*,;45.6664792767;-73.6445079206
6080;7;Pétro-Canada S/S 12300;"921, boulevard Maloney Est
Gatineau";R : Non terminée;81017;810;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;45.490770323;-75.594417539
6082;2;Société immobilière du Québec;;R : Non terminée;94928;942;Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p),;Benzène, Cadmium (Cd), Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Vanadium (V)*, Zinc (Zn),;48.0096375191;-71.4356900051
6091;16;Déversement du mois de décembre 2002;"425-A, route 219
Saint-Cyprien-de-Napierville";R : Non terminée;68035;680;Hydrocarbures pétroliers C10 à C50,;0;45.2063722222;-73.3954861111
6096;14;Garage Robert Gagné inc.;"520, boul. Lacombe
Repentigny";R : Non terminée;60013;600;Hydrocarbures aromatiques polycycliques*, Hydrocarbures aromatiques volatiles*,;Hydrocarbures aromatiques volatiles*,;45.7552777778;-73.4641666667
6097;4;Les Investissements Olymbec ltée (ancien Bonaprix et Kimball Automobile);"333, rue Saint-Antoine
Trois-Rivières";R : Non terminée;37067;371;Huiles usées*, Produits pétroliers*,;0;46.3412854368;-72.5436503471
